variante_id,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista,source_id
1,Variante da Laca,NULL,IIIsup,,,,35,Paulo Henrique 'PH' Santos,12/2005,1
2,Variante Mudança climática,NULL,V,,,,30,Pedro Bugim (com auto-segurança),29/10/2006,1
3,Variante do Zé,NULL,Vsup,,,,20,Leonardi Cupollilo; Paulo Henrique 'PH' Santos,08/08/2004,1
4,Variante João Sebastião,NULL,IV,,,,20,Alfredo Neto;Ricardo Bemvindo,29/12/2002,1
5,Variante Baba Roga,NULL,VI,,,,40,Marcello Ramos;Predrag Panevski; Russ Clune,1984,1
6,Variante central,NULL,,,,,NULL,Etzel von Stockert; José 'Tião' Sebastião; Mauro de Andrade; Raimundo Minchetti,1961,1
7,Variante Luis Carlos Teixeira da Silva,2,,A1,,,NULL,Ernani Soares; Frederico Lohmann; Jadyr Santiago; Jean Pierre Von Der Weid; Luis Carlos David; Marcos Teixeira,06/04/1968,1
8,Variante de A fogueira das vaidades,NULL,IVsup,,,,30,,,1
9,Variante Diurrurru,3,IVsup,,,E2/3,80,Alexrande Aragão; Álvaro Loureiro; Felipe Assad,2002,1
10,Variante Opção vertical,NULL,IIIsup,,,,25,Jacques Cardeman; Leonardo 'Leo' Siqueira; Márcio Amaral,04/06/1997,1
11,Variante Eva,NULL,II,,,,25,Kátia Torres; Lilian White; Sílvia Fittipaldi; Valéria Conforto,1987,1
12,Variante Arcturus,NULL,IIsup,,,,30,Carlos Carrozino; Rafael Villaça,02/11/2007,1
13,Variante Socialista,NULL,VI,,,,25,Alexandre Portela; Sérgio Tartari,1983,1
14,Variante Capitalismo Selvagem,NULL,IV,,,,20,André Ilha; Ricardo de Moraes,10/04/1989,1
15,Variante Lagoa Rasta,NULL,VIIIa,,,,6,Gabriel Queiroz; Pedro Kerouac,13/10/2008,1
16,Variante Renascido das Cinzas,NULL,Vsup,,,,30,Gustavo Sampaio; Márcio Menezes; Pierre Guerry; André Ilha; Kika Bradford; Gabriela Saliba,14/04/2009,1
17,Variante Quebra-Nozes,NULL,VIIb,,,,20,André 'Batata' Padrenosso; Leandro Chen; Marcos 'Kiko' Araújo,01/05/2010,1
18,Variante Sem nome,NULL,III,,,,15,,,1
19,Variante Cigarettes,NULL,IVsup,,,,35,Gustavo Sampaio; Márcio Argolo,08/2001,1
20,Variante Chaminé do Prego,NULL,VI(A0/VIIa),,,E3,25,,,1
21,Variante Gilberto Coutinho,NULL,III,,,,25,Antônio da Cunha; Etzel Von Stockert; José 'Tião' Sebastião; Raimundo Minchetti,17/07/1960,1
22,Variante Arduíno Sabóia Amorim,NULL,IVsup(A0/VI;C/VIIb),,,,35,Aluízio Borges; Gilberto D'Urso; Hélio Prefeitinho; Henry Occhioni; Jayme Moura e Silva; Jessé Ferreira; José Carlos Pinto; Mário de Castro; Oscar da Silva; Raphael de Assis,18/07/1965,1
23,Variante Infiéis,NULL,VIsup,,,,20,André Ilha; Gabriel Fonseca,20/08/1994,1
24,Variante Porcos Safados,NULL,VIIb,,,,8,André 'Rato' Kühner; Luís Cláudio 'Ralf' Cortes; Nilton Campos,12/2003,1
25,Variante Trigramps,NULL,IVsup,,,,15,Autor Desconhecido,,1
26,Variante Direta,NULL,V,,,,20,Flávio Daflon; Márcio Carrilho,2004,1
27,Variante de Carlos Alexandre,NULL,III,,,,40,Luis Octávio 'Tavinho' Cardozo; Maurício Mota,1978,1
28,Variante Boa sorte Marianne,NULL,IV,,,,5,Alexandre Faia,02/2011,2
29,Variante Faixa branca,NULL,IV,,,E3,10,André Ilha; Yuri Berezovoy,07/01/2007,1
30,Variante Tapa na Pantera,NULL,IVsup,,,E2/3,10,André Ilha; Yuri Berezovoy,28/01/2007,1
31,Variante Ferrão Satírico,NULL,VIIa,,,E2/3,20,André Ilha; McKenzie Campbell; Yuri Berezovoy,04/02/2007,1
32,Variante Campo Minado,NULL,IVsup,A1,,,10,Cláudio Peixoto; Raphael Raine,200?,1
33,Variante Gambá à espreita,NULL,VI,,,,25,Kika Bradford; Helena Fagundes; Rosane Camargo,19/04/2009,1
34,Variante Fazendo arte,NULL,IV,,,E3/4,35,Fernando Vieira; Juliano Lindner,23/01/2001,1
35,Variante Roubadinha,NULL,Vsup,,,E2/3,45,Fernando Vieira; Luis Felipe Leitão,15/07/2002,1
36,Variante Krakatoa,NULL,IVsup,,,,50,André Ilha; Lúcia Duarte,20/05/1990,1
37,Variante Lunaris,NULL,IV,,,E2/3,50,Bernardo Collares; Marcelo Roberto Jimenez,30/07/2000,1
38,Variante Arquivo X,4,IVsup,,,,95,Alberto 'Beto' Araújo; Clésio Kleske; Manuel Rosário Jr.,18/04/2003,1
39,Variante Luz das estrelas,5,VIIa,,,,100,André 'Pedra Azul' Araújo; Flávio Leone,17/10/2001,1
